bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b2_V16,b2,V16,Arcuate_Fasciculus_R : IrregularityofEndRegion1,IrregularityofEndRegion1,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V17,b2,V17,Arcuate_Fasciculus_R : AreaOfEndRegion2,AreaOfEndRegion2,Arcuate_Fasciculus_R,lgrg,0.03512621
b2_V18,b2,V18,Arcuate_Fasciculus_R : RadiusOfEndRegion2,RadiusOfEndRegion2,Arcuate_Fasciculus_R,lgrg,0.101756655
b2_V19,b2,V19,Arcuate_Fasciculus_R : IrregularityofEndRegion2,IrregularityofEndRegion2,Arcuate_Fasciculus_R,lgrg,0.10549385
b2_V20,b2,V20,Arcuate_Fasciculus_R : qa,qa,Arcuate_Fasciculus_R,lgrg,0.150058013
b2_V21,b2,V21,Arcuate_Fasciculus_R : nqa,nqa,Arcuate_Fasciculus_R,lgrg,0.109107595
b2_V22,b2,V22,Arcuate_Fasciculus_R : dti_fa,dti_fa,Arcuate_Fasciculus_R,lgrg,0.114846775
b2_V23,b2,V23,Arcuate_Fasciculus_R : md,md,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V24,b2,V24,Arcuate_Fasciculus_R : ad,ad,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V25,b2,V25,Arcuate_Fasciculus_R : rd,rd,Arcuate_Fasciculus_R,lgrg,0.096141757
b2_V26,b2,V26,Arcuate_Fasciculus_R : gfa,gfa,Arcuate_Fasciculus_R,lgrg,0.155802579
b2_V27,b2,V27,Arcuate_Fasciculus_R : iso,iso,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V28,b2,V28,Arcuate_Fasciculus_R : rdi,rdi,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V29,b2,V29,Arcuate_Fasciculus_R : nrdi02L,nrdi02L,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V30,b2,V30,Arcuate_Fasciculus_R : nrdi04L,nrdi04L,Arcuate_Fasciculus_R,lgrg,0.099552348
b2_V31,b2,V31,Arcuate_Fasciculus_R : nrdi06L,nrdi06L,Arcuate_Fasciculus_R,lgrg,0.099552348
