bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b26_V9,b26,V9,Middle_Longitudinal_Fasciculus_L : BranchVolume,BranchVolume,Middle_Longitudinal_Fasciculus_L,lgrg,0
b26_V14,b26,V14,Middle_Longitudinal_Fasciculus_L : AreaOfEndRegion1,AreaOfEndRegion1,Middle_Longitudinal_Fasciculus_L,lgrg,0
b13_V31,b13,V31,Corpus_Callosum_Body : nrdi06L,nrdi06L,Corpus_Callosum_Body,lgrg,0
b2_V22,b2,V22,Arcuate_Fasciculus_R : dti_fa,dti_fa,Arcuate_Fasciculus_R,lgrg,0
b34_V1,b34,V1,Superior_Longitudinal_Fasciculus2_L : NumberOfTracts,NumberOfTracts,Superior_Longitudinal_Fasciculus2_L,lgrg,0
b49_V4,b49,V4,Vertical_Occipital_Fasciculus_R : Curl,Curl,Vertical_Occipital_Fasciculus_R,lgrg,0
b7_V27,b7,V27,Cingulum_Parahippocampal_L : iso,iso,Cingulum_Parahippocampal_L,lgrg,0
b31_V18,b31,V18,Parietal_Aslant_Tract_R : RadiusOfEndRegion2,RadiusOfEndRegion2,Parietal_Aslant_Tract_R,lgrg,0
b8_V6,b8,V6,Cingulum_Parahippocampal_R : Diameter,Diameter,Cingulum_Parahippocampal_R,lgrg,0
b7_V23,b7,V23,Cingulum_Parahippocampal_L : md,md,Cingulum_Parahippocampal_L,lgrg,0
b46_V5,b46,V5,Uncinate_Fasciculus_L : Elongation,Elongation,Uncinate_Fasciculus_L,lgrg,10.348749
b27_V16,b27,V16,Middle_Longitudinal_Fasciculus_R : IrregularityofEndRegion1,IrregularityofEndRegion1,Middle_Longitudinal_Fasciculus_R,lgrg,0
b5_V31,b5,V31,Cingulum_Frontal_Parietal_L : nrdi06L,nrdi06L,Cingulum_Frontal_Parietal_L,lgrg,0
b28_V11,b28,V11,Optic_Radiation_L : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Optic_Radiation_L,lgrg,0
b21_V14,b21,V14,Frontal_Aslant_Tract_R : AreaOfEndRegion1,AreaOfEndRegion1,Frontal_Aslant_Tract_R,lgrg,0
b1_V2,b1,V2,Arcuate_Fasciculus_L : MeanLength,MeanLength,Arcuate_Fasciculus_L,lgrg,0
b20_V7,b20,V7,Frontal_Aslant_Tract_L : Volume,Volume,Frontal_Aslant_Tract_L,lgrg,0
b24_V14,b24,V14,Inferior_Longitudinal_Fasciculus_L : AreaOfEndRegion1,AreaOfEndRegion1,Inferior_Longitudinal_Fasciculus_L,lgrg,0
b10_V21,b10,V21,Cingulum_Parahippocampal_Parietal_R : nqa,nqa,Cingulum_Parahippocampal_Parietal_R,lgrg,0
b29_V16,b29,V16,Optic_Radiation_R : IrregularityofEndRegion1,IrregularityofEndRegion1,Optic_Radiation_R,lgrg,0
b43_V6,b43,V6,Thalamic_Radiation_Posterior_R : Diameter,Diameter,Thalamic_Radiation_Posterior_R,lgrg,0
b28_V17,b28,V17,Optic_Radiation_L : AreaOfEndRegion2,AreaOfEndRegion2,Optic_Radiation_L,lgrg,16.34013
b31_V22,b31,V22,Parietal_Aslant_Tract_R : dti_fa,dti_fa,Parietal_Aslant_Tract_R,lgrg,0
b43_V20,b43,V20,Thalamic_Radiation_Posterior_R : qa,qa,Thalamic_Radiation_Posterior_R,lgrg,0
b3_V12,b3,V12,Cingulum_Frontal_Parahippocampal_L : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Cingulum_Frontal_Parahippocampal_L,lgrg,0
